experiment,strategy,target_cefr,text_id,original,simplified,reference,gold_cefr,pred_cefr,conf_score,meaningbert,bertscore,prob_A1,prob_A2,prob_B1,prob_B2
A2_1_baseline,1_baseline,A2,28-a2,"Social media, magazines and shop windows bombard people daily with things to buy, and British consumers are buying more clothes and shoes than ever before. Online shopping means it is easy for customers to buy without thinking, while major brands offer such cheap clothes that they can be treated like disposable items – worn two or three times and then thrown away.","Shops and social media show people many things to buy every day.
British people buy more clothes and shoes now.
It is easy to buy online, so people buy without thinking.
Big shops sell very cheap clothes.
People wear these clothes only a few times, then throw them away.","Every day, people see many clothes and shoes on social media, in magazines, and in shops. In the UK, people are buying more than before. Online shopping makes it easy to buy without thinking. Big brands sell clothes that are very cheap. Some people wear them only a few times and then throw them away.",A2,A2,0.9997,85.16,0.9428,0.0,0.9997,0.0002,0.0
A2_1_baseline,1_baseline,A2,25-a2,"Cape Town can be a dangerous place for baboons. Some have been injured or killed in car accidents and others have been electrocuted as they played with electric cables. Baboons are an endangered species and to save them and minimise conflicts between humans and baboons, the city council has employed a team of Baboon Monitors. The monitors' job is to chase baboons out of urban areas or catch them and release them in the countryside. This policy has had some success, though it is proving hard to stop baboons from coming back to the city once they see it as a source of easy food.","Cape Town is not safe for baboons. Cars hit some baboons. They get hurt or die. Other baboons touch electric wires. They get a shock and die.

Baboons are rare animals. They need help. People and baboons sometimes have problems. So, the city hired people to help. They are called Baboon Monitors.

These people move baboons away from the city. They chase them or catch them. Then they let them go in the country.

This plan helps a little. But it is hard to stop baboons. They come back to the city. They find food easily there.","Cape Town can be dangerous for baboons. Some are hurt or die in car accidents. Some die from playing with electric wires. Baboons are animals that are in danger of disappearing. To help them, the city now has a team called Baboon Monitors. These people try to move baboons out of the city and take them back to the countryside. This plan works a little, but the baboons often come back because they find food in the city.",A2,A2,0.9965,59.89,0.9227,0.0033,0.9965,0.0001,0.0
A2_1_baseline,1_baseline,A2,39-a2,"A large number of bridge accidents occur during the construction of the bridge itself. These accidents are often due to an error made by the engineers, such as a miscalculation. The bridge collapses under its own weight, and this can be deadly for the workers on it at the time.","Many accidents happen when people build bridges.
Engineers often make mistakes. For example, they might count wrong.
Then the bridge falls down because it is too heavy.
Workers on the bridge can die.","Many accidents with bridges happen while they are being built. These accidents often happen because engineers make mistakes, like wrong numbers. The bridge can fall down from its own weight. This is very dangerous for the workers on the bridge.",A2,A2,0.9979,81.45,0.9252,0.0001,0.9979,0.002,0.0
A2_1_baseline,1_baseline,A2,24-a2,"Chloe has two pet rats, Zena and Roxy. Chloe knows they're not typical pets and she has lost count of the times she's patiently tried to explain to people that rats aren't dirty and they make fantastic pets if you look after them correctly. But she understands why people react badly. She didn't like rats either until her friend Martin showed her his pet rats and she saw how affectionate and intelligent they were. Last year, when one of Martin's rats had babies, Chloe decided she'd like to have two of them.","Chloe has two pet rats, Zena and Roxy.
Chloe knows her rats are not common pets.
She often tells people that rats are clean.
She says they are good pets if you take care of them.
But she understands why people don't like them.
Chloe didn't like rats before.
Then her friend Martin showed her his rats.
She saw they were friendly and smart.
Last year, Martin's rat had babies.
Chloe wanted two of them.","Chloe has two pet rats, called Zena and Roxy. She knows that rats are not usual pets, and many people think they are dirty. Chloe often tells people that rats can be very good pets if you take care of them. She didn't like rats before, but her friend Martin showed her his rats. She saw they were kind and clever. Last year, one of Martin's rats had babies. Chloe chose two of them to keep.",A2,A2,1.0,66.44,0.9513,0.0,1.0,0.0,0.0
A2_1_baseline,1_baseline,A2,35-a2,"What does the art world think of graffiti and street art? Recently, there has been a growing recognition of its value as an art form. There have been major exhibitions of street art in galleries in Paris, London and Los Angeles. The American artist Elura Emerald organised a street art exhibition at a New York gallery in 2008. She defended street artists, saying 'artists who paint on the street are merely expressing themselves, not hurting anyone. They should be appreciated and celebrated'.","Many people now think street art is real art. There were big art shows in Paris, London, and Los Angeles. An American artist, Elura Emerald, had a street art show in New York in 2008. She said street artists just show their feelings. They don't hurt anyone. People should like their art.","What do people in the art world think about street art and graffiti? Today, more people see it as a true kind of art. Big art shows in Paris, London, and Los Angeles have shown street art. In 2008, an American artist, Elura Emerald, made a street art show in New York. She said street artists only want to share their ideas and are not doing anything wrong.",A2,A2,0.9991,93.88,0.9434,0.0003,0.9991,0.0006,0.0
A2_1_baseline,1_baseline,A2,30-a2,"Many city residents in Berlin, Germany complained that shooting pigs was unnecessarily cruel and there were heated arguments between hunters and animal lovers. In response to protests, the city council decided to take more peaceful action against pigs. Instead of shooting them, they have put up fences and made it illegal to feed the pigs. Time will tell if this strategy works, though it may be a losing battle as warmer winters mean that pig numbers are greater than in the past.","Many people in Berlin, Germany, were angry. They said shooting pigs was too mean. Hunters and animal lovers argued a lot.

So, the city leaders made a new plan. They did not shoot the pigs. They built fences. And they said: ""Do not feed the pigs!""

We don't know if this plan will work. It might be hard. There are more pigs now because winters are warmer.","In Berlin, Germany, many people were upset because hunters were killing pigs. They thought it was too cruel. The city listened and changed the plan. Now people cannot feed pigs, and fences have been built. This is a kinder way to stop pigs. But there are still many pigs, because the winters are getting warmer.",A2,A2,0.9998,64.78,0.9145,0.0,0.9998,0.0001,0.0
A2_1_baseline,1_baseline,A2,23-a2,"Wonder is New Yorker RJ Palacio's first novel. On her website, she explains that the idea for the book came to her after seeing a girl with facial deformities on the street one day. Wonder has been a bestseller in the United States and has already won several awards. Many schools are using it as a starting point for discussions about bullying, friendship and what it's like to be different. A film version is being made, and many, including me, are waiting eagerly to see what RJ Palacio writes next.","Wonder is the first book by RJ Palacio. She is from New York.
She says she got the idea for the book after seeing a girl with a different face.
Wonder is a very popular book in the USA. It has won many prizes.
Many schools use this book. They talk about being mean, friendship, and how it feels to be different.
They are making a movie of the book. Many people, like me, want to know what RJ Palacio will write next.","Wonder is the first book by RJ Palacio, a writer from New York. She got the idea after seeing a girl with a face that looked different. The book is very popular in the United States and has won many awards. Many schools use the book to talk about bullying, friendship, and being different. A movie is now being made, and many people want to know what RJ Palacio will write next.",A2,A2,0.9997,82.33,0.9545,0.0,0.9997,0.0002,0.0
A2_1_baseline,1_baseline,A2,40-a2,"George Lucas was one of the early film directors to directly base his story on the 17 stages of the hero's journey. Typically the hero starts the story living an ordinary life, but something happens that calls them to an adventure that changes everything. At the beginning of Star Wars, Luke lives an ordinary life with his aunt and uncle, repairing robots. When he finds Princess Leia's message to Obi-Wan Kenobi inside the robot R2D2, it is 'the call to adventure' that starts the hero on his journey.","George Lucas made movies. He used a story idea called 'the hero's journey'.

Usually, the hero lives a normal life. But then something happens. It makes them go on an adventure. This adventure changes their life.

In Star Wars, Luke lives a normal life. He lives with his aunt and uncle. He fixes robots.

He finds a message from Princess Leia in a robot, R2D2. This tells him to go on an adventure. It starts his journey.","George Lucas was one of the first movie makers to use 'the hero's journey' idea. In this story, the hero starts with a normal life. Then something happens that begins an adventure. In Star Wars, Luke lives with his aunt and uncle and fixes robots. One day, he finds a message from Princess Leia. This is the start of his journey.",A2,A2,0.9997,71.68,0.924,0.0003,0.9997,0.0001,0.0
A2_1_baseline,1_baseline,A2,37-a2,"The Hunger Games takes place in the future, after the destruction of North America. The country is called Panem and is made up of twelve poor districts governed by the wealthy Capitol. The Capitol holds absolute power over the nation. Each district is responsible for producing different things for the Capitol. District 12, where the story begins, provides all the coal for the country. There used to be a thirteenth district but they rebelled against the Capitol in the past and were destroyed. ","The Hunger Games happens in the future. North America is gone.
The country is called Panem. It has 12 poor areas.
A rich city, the Capitol, rules them. The Capitol has all the power.
Each area makes different things for the Capitol.
District 12, where the story begins, gives all the coal.
There was a 13th area before. But they fought the Capitol and were destroyed.","The Hunger Games happens in the future, after North America is gone. The new country is called Panem. It has 12 poor districts and one rich city, the Capitol. The Capitol has full power. Each district makes something for the Capitol. District 12, where the story starts, gives coal. There was a District 13, but it fought against the Capitol and was destroyed.",A2,A2,0.9999,84.16,0.9525,0.0,0.9999,0.0001,0.0
A2_1_baseline,1_baseline,A2,27-a2,"In the 1990s, graffiti continued but there was also an explosion in street art around the world. Some artists wanted to make political points and produced art that tried to make people think about war, inequality and discrimination. Other street artists were more concerned with producing beautiful, attractive work. In South America, many street artists went to work in poor areas adding colour, life and beauty to grey, city walls.","In the 1990s, people still made graffiti. But street art also grew a lot everywhere.

Some artists wanted to show important problems. They made art to make people think about war, unfairness, and not treating people well.

Other artists just wanted to make beautiful art.

In South America, many artists went to poor areas. They put colour, life, and beauty on grey city walls.","In the 1990s, street art became more popular. Some artists wanted to show ideas about war, unfair treatment, and other problems. Other artists only wanted to make the streets look beautiful. In South America, many artists painted in poor areas. Their art added colour and life to the grey walls.",A2,A2,0.9982,85.47,0.9315,0.0002,0.9982,0.0016,0.0
